term,estimate,std_error,statistic,p_value,conf_low,conf_high,model
const,-3.898688459470914,0.011327189907005155,-344.18849612999077,0.0,-3.92088934373469,-3.8764875752071384,model_base_logit
omega,0.0036926552752022217,0.0001723608158095202,21.423983507266858,7.985884011355888e-102,0.00335483428386962,0.004030476266534824,model_base_logit
mujer,1.8953669161527102,0.0039019230250525064,485.7520007399954,0.0,1.8877192875531597,1.9030145447522608,model_base_logit
capital_humano,-0.05227421960156819,0.00020238714972315672,-258.2882345696036,0.0,-0.05267089112595929,-0.05187754807717709,model_base_logit
edad,0.059847832215780196,0.0005031230757118173,118.95266805464573,0.0,0.05886172910759402,0.06083393532396637,model_base_logit
edad2,-0.0005740536774720321,6.283171334351457e-06,-91.36368354839482,0.0,-0.0005863684669960554,-0.0005617388879480087,model_base_logit
ruralidad,0.5861783821028057,0.005260570085868075,111.42868026366715,0.0,0.5758678541963556,0.5964889100092559,model_base_logit
inter_rural_mujer,-0.26528935088140165,0.005774836330408094,-45.938851891695826,0.0,-0.27660782210561496,-0.25397087965718834,model_base_logit
idep_2,-0.4424129316874085,0.005180236715573523,-85.40399907930218,0.0,-0.45256600908132466,-0.4322598542934923,model_base_logit
idep_3,-0.3324246223377698,0.005423356709167596,-61.294994993753974,0.0,-0.343054206163052,-0.32179503851248764,model_base_logit
idep_4,-0.2643884086003375,0.006926351968445734,-38.171379364607425,0.0,-0.27796380900273926,-0.2508130081979358,model_base_logit
idep_5,0.02069303017647954,0.006007691029291866,3.444423169498225,0.0005722792543778647,0.008918172128823117,0.03246788822413596,model_base_logit
idep_6,-0.135902453756638,0.0068880267583500375,-19.730244745621775,1.1859480806780812e-86,-0.14940273812755225,-0.12240216938572376,model_base_logit
idep_7,-0.16395518353284735,0.005176328919932478,-31.674027301763125,3.541091588135933e-220,-0.17410060178804812,-0.1538097652776466,model_base_logit
idep_8,-0.12907654193214613,0.007380697540201872,-17.4883933705561,1.7563940422599966e-68,-0.14354244329172516,-0.11461064057256709,model_base_logit
idep_9,-0.13224161803540252,0.011614179659046701,-11.38622114669931,4.897728584934561e-30,-0.15500499187711175,-0.1094782441936933,model_base_logit
