term,estimate,std_error,statistic,p_value,conf_low,conf_high,model
omega,0.0036926552752022217,0.0001723608158095202,21.423983507266858,7.985884011355888e-102,0.00335483428386962,0.004030476266534824,model_base_logit
mujer,1.8953669161527102,0.0039019230250525064,485.7520007399954,0.0,1.8877192875531597,1.9030145447522608,model_base_logit
capital_humano,-0.05227421960156819,0.00020238714972315672,-258.2882345696036,0.0,-0.05267089112595929,-0.05187754807717709,model_base_logit
edad,0.059847832215780196,0.0005031230757118173,118.95266805464573,0.0,0.05886172910759402,0.06083393532396637,model_base_logit
edad2,-0.0005740536774720321,6.283171334351457e-06,-91.36368354839482,0.0,-0.0005863684669960554,-0.0005617388879480087,model_base_logit
ruralidad,0.5861783821028057,0.005260570085868075,111.42868026366715,0.0,0.5758678541963556,0.5964889100092559,model_base_logit
inter_rural_mujer,-0.26528935088140165,0.005774836330408094,-45.938851891695826,0.0,-0.27660782210561496,-0.25397087965718834,model_base_logit
omega,0.005580421542683179,0.00031379805194784664,17.78348051571285,9.49013880855385e-71,0.004965388662446571,0.006195454422919787,model_interaction_logit
mujer,1.9013361979224068,0.003990602681771161,476.4533955253424,0.0,1.8935147603895264,1.9091576354552873,model_interaction_logit
capital_humano,-0.05229322391958496,0.0002024092245653004,-258.3539561099121,0.0,-0.052689938709871625,-0.05189650912929829,model_interaction_logit
edad,0.059832157647255156,0.0005031213814122408,118.92191399083215,0.0,0.05884605785983513,0.060818257434675185,model_interaction_logit
edad2,-0.0005739387375069582,6.283117532102539e-06,-91.346172433432,0.0,-0.0005862534215805114,-0.0005616240534334051,model_interaction_logit
ruralidad,0.57362332636722,0.00555377800628729,103.28524577644907,0.0,0.5627381214967663,0.5845085312376738,model_interaction_logit
inter_rural_mujer,-0.24857273519400483,0.006235767001095935,-39.862415505633585,0.0,-0.2607946139321362,-0.23635085645587345,model_interaction_logit
inter_omega_mujer,-0.0026454858612952772,0.0003691495471626642,-7.166433987604366,7.697649009629946e-13,-0.0033690056786433694,-0.0019219660439471853,model_interaction_logit
omega,0.002667414956567738,0.00015509707808939938,17.198357244552444,2.7316674705030484e-66,0.002363430269405119,0.002971399643730357,model_interaction_probit
mujer,0.9440387878094123,0.0018616971393127836,507.0850504491238,0.0,0.940389928466238,0.9476876471525866,model_interaction_probit
capital_humano,-0.029167989506573976,0.00011127721669371561,-262.1200491279114,0.0,-0.02938608884359352,-0.028949890169554432,model_interaction_probit
edad,0.030737411720071963,0.0002701797939437415,113.76650811449022,0.0,0.030207869054591777,0.03126695438555215,model_interaction_probit
edad2,-0.0002880154884499883,3.4100153211668815e-06,-84.46164058624568,0.0,-0.00029469899566620517,-0.0002813319812337714,model_interaction_probit
ruralidad,0.24899251022777197,0.0026177095213097763,95.11846452053551,0.0,0.2438618938440172,0.2541231266115267,model_interaction_probit
inter_rural_mujer,-0.0532321209576236,0.003105635503860113,-17.14049214450935,7.402149659172545e-66,-0.05931905469429832,-0.047145187220948875,model_interaction_probit
inter_omega_mujer,-0.0006643919626070125,0.00019314762192183745,-3.439814355446101,0.0005821133285207345,-0.0010429543452733728,-0.0002858295799406521,model_interaction_probit
omega,0.00017312029407749765,7.630692421708189e-05,2.2687363676852716,0.023284362613772477,2.356147084098988e-05,0.0003226791173140054,model_interaction_lpm
mujer,0.14828145255930497,0.0026810165118398787,55.307922164770666,0.0,0.14302675675414162,0.15353614836446833,model_interaction_lpm
capital_humano,-0.006260107281608226,0.00012290007014776006,-50.9365639424114,0.0,-0.006500986992795282,-0.006019227570421171,model_interaction_lpm
edad,0.005278239343522302,0.0005434600048411512,9.712286638397774,2.672726499846261e-22,0.004213077306995682,0.006343401380048922,model_interaction_lpm
edad2,-4.749482354558782e-05,6.361003242052279e-06,-7.466561757365864,8.231734839708123e-14,-5.9962160805552806e-05,-3.5027486285622835e-05,model_interaction_lpm
ruralidad,0.012985404949296125,0.001693703821405894,7.666868779050945,1.7624592271593442e-14,0.009665806458862712,0.016305003439729536,model_interaction_lpm
