term,estimate,std_error,statistic,p_value,conf_low,conf_high,model
const,-3.902381611544795,0.011338788337767827,-344.162135785403,0.0,-3.9246052283151425,-3.8801579947744473,model_interaction_logit
omega,0.005580421542683179,0.00031379805194784664,17.78348051571285,9.49013880855385e-71,0.004965388662446571,0.006195454422919787,model_interaction_logit
mujer,1.9013361979224068,0.003990602681771161,476.4533955253424,0.0,1.8935147603895264,1.9091576354552873,model_interaction_logit
capital_humano,-0.05229322391958496,0.0002024092245653004,-258.3539561099121,0.0,-0.052689938709871625,-0.05189650912929829,model_interaction_logit
edad,0.059832157647255156,0.0005031213814122408,118.92191399083215,0.0,0.05884605785983513,0.060818257434675185,model_interaction_logit
edad2,-0.0005739387375069582,6.283117532102539e-06,-91.346172433432,0.0,-0.0005862534215805114,-0.0005616240534334051,model_interaction_logit
ruralidad,0.57362332636722,0.00555377800628729,103.28524577644907,0.0,0.5627381214967663,0.5845085312376738,model_interaction_logit
inter_rural_mujer,-0.24857273519400483,0.006235767001095935,-39.862415505633585,0.0,-0.2607946139321362,-0.23635085645587345,model_interaction_logit
inter_omega_mujer,-0.0026454858612952772,0.0003691495471626642,-7.166433987604366,7.697649009629946e-13,-0.0033690056786433694,-0.0019219660439471853,model_interaction_logit
idep_2,-0.4424581605776029,0.005180296536414594,-85.41174380025717,0.0,-0.4526113552182131,-0.4323049659369927,model_interaction_logit
idep_3,-0.3323251544711305,0.005423235711136564,-61.27802149346079,0.0,-0.3429545011446296,-0.32169580779763135,model_interaction_logit
idep_4,-0.26435873445728053,0.006925796096374479,-38.17015845956932,0.0,-0.2779330453704426,-0.25078442354411845,model_interaction_logit
idep_5,0.020657560300760328,0.006007615026482782,3.4385625925925054,0.0005848113232225496,0.008882851215872432,0.03243226938564822,model_interaction_logit
idep_6,-0.13595556257576977,0.006888958832773624,-19.735284514834515,1.0734092920165599e-86,-0.14945767377898517,-0.12245345137255438,model_interaction_logit
idep_7,-0.1641182486827767,0.005176586192782259,-31.70395364257773,1.3704744637835556e-220,-0.17426417118349724,-0.15397232618205614,model_interaction_logit
idep_8,-0.12841094871538647,0.007378811398441736,-17.402660371900062,7.87586293941349e-68,-0.1428731533050459,-0.11394874412572703,model_interaction_logit
idep_9,-0.13232698095749998,0.011607276627950473,-11.400346971903375,4.1645597697502886e-30,-0.15507682510687643,-0.10957713680812353,model_interaction_logit
