variable,total,mujeres,hombres
Observaciones,7325783.0,3715280.0,3610503.0
Municipios observados,343.0,,
Edad media,35.43005177740045,35.53142670269805,35.32573494607261
Edad DE,13.750725612959979,13.768019469979896,13.732127806398545
Escolaridad equivalente media,10.351461410522461,10.278858184814453,10.426170349121094
Escolaridad equivalente DE,6.063456058502197,6.16902494430542,5.9519453048706055
Ruralidad (%),29.683598326622562,27.689110914924314,31.735965875114907
No participación por cuidados (%),13.010267980910708,21.162227342219158,4.6217383007298425
Índice hídrico medio,3.8497345447540283,3.619952440261841,4.086184501647949
Índice hídrico DE,6.851665019989014,6.5217790603637695,7.167623043060303
Índice hídrico mediana,1.0,1.0,1.0
Índice hídrico P75,3.0,1.5,3.0
Personas por dormitorio media,2.259038209915161,2.2843680381774902,2.232973337173462
